SELL, ACN, 316.0, 313.82820487393366, 0.9640127174542691, 0.09546844387522042, 0.19093688775044085, 0.2864053316256613, 0.3818737755008817, 0.4773422193761021, 0.5728106632513226, 0.6682791071265429, 0.7637475510017634, 0.8592159948769839, 0.9546844387522042, 20220311, 11:09:00
BUY, ACN, 307.24, 306.5127129291216, 0.2842071527720131, 0.3913958046975478, 0.7827916093950956, 1.1741874140926434, 1.5655832187901912, 1.9569790234877391, 2.3483748281852868, 2.7397706328828346, 3.1311664375803825, 3.5225622422779304, 3.9139580469754782, 20220314, 14:23:00
SELL, ACN, 311.45, 307.28190879898386, 1.2373204106119557, 0.6123278605876675, 1.224655721175335, 1.8369835817630027, 2.44931144235067, 3.0616393029383375, 3.6739671635260054, 4.286295024113673, 4.89862288470134, 5.510950745289008, 6.123278605876675, 20220315, 08:41:00
BUY, ACN, 314.14, 313.2538678347065, 0.35112924422242553, 0.17964772171728124, 0.3592954434345625, 0.5389431651518437, 0.718590886869125, 0.8982386085864063, 1.0778863303036874, 1.2575340520209688, 1.43718177373825, 1.6168294954555311, 1.7964772171728125, 20220315, 12:15:00
SELL, ACN, 314.66, 313.5671275414027, 0.5979573426030751, 0.28399829595468046, 0.5679965919093609, 0.8519948878640413, 1.1359931838187218, 1.4199914797734023, 1.7039897757280826, 1.9879880716827631, 2.2719863676374437, 2.555984663592124, 2.8399829595468047, 20220315, 13:46:00
BUY, ACN, 314.6977, 313.60476169801035, 0.4940062656405853, 0.2718615912056187, 0.5437231824112374, 0.8155847736168561, 1.0874463648224748, 1.3593079560280934, 1.6311695472337122, 1.903031138439331, 2.1748927296449496, 2.446754320850568, 2.718615912056187, 20220315, 13:50:00
SELL, ACN, 315.57, 314.2934383047104, 0.7243590528676563, 0.3184750985867228, 0.6369501971734456, 0.9554252957601683, 1.2739003943468912, 1.592375492933614, 1.9108505915203366, 2.2293256901070597, 2.5478007886937823, 2.866275887280505, 3.184750985867228, 20220315, 14:40:00
BUY, ACN, 315.92, 314.31901463589605, 0.6355432556288897, 0.3207031717821545, 0.641406343564309, 0.9621095153464636, 1.282812687128618, 1.6035158589107725, 1.9242190306929272, 2.2449222024750815, 2.565625374257236, 2.886328546039391, 3.207031717821545, 20220315, 14:42:00
SELL, ACN, 323.18, 317.24267790468656, 1.3049337896095035, 0.3260257505229282, 0.6520515010458564, 0.9780772515687846, 1.3041030020917128, 1.630128752614641, 1.9561545031375691, 2.2821802536604974, 2.6082060041834256, 2.934231754706354, 3.260257505229282, 20220316, 09:02:00
BUY, ACN, 322.13, 321.40748197331686, 0.2656621357252691, 0.27989779958624533, 0.5597955991724907, 0.839693398758736, 1.1195911983449813, 1.3994889979312266, 1.679386797517472, 1.9592845971037174, 2.2391823966899627, 2.519080196276208, 2.798977995862453, 20220316, 11:01:00
SELL, ACN, 322.6, 321.5066754498717, 0.6900153891381986, 0.28835463618539864, 0.5767092723707973, 0.865063908556196, 1.1534185447415946, 1.4417731809269931, 1.730127817112392, 2.0184824532977905, 2.306837089483189, 2.5951917256685877, 2.8835463618539863, 20220316, 11:09:00
BUY, ACN, 322.53, 321.6782177857141, 0.3024096924943276, 0.3362417715210248, 0.6724835430420496, 1.0087253145630743, 1.3449670860840992, 1.681208857605124, 2.0174506291261487, 2.3536924006471738, 2.6899341721681984, 3.026175943689223, 3.362417715210248, 20220316, 11:35:00
SELL, ACN, 330.575, 328.14713158130155, 1.2284476010047545, 0.2759913778699333, 0.5519827557398665, 0.8279741336097999, 1.103965511479733, 1.3799568893496663, 1.6559482672195998, 1.931939645089533, 2.207931022959466, 2.4839224008293996, 2.7599137786993326, 20220317, 08:40:00
BUY, ACN, 322.53, 321.87160797868074, 0.19521960861166915, 0.351831306418352, 0.703662612836704, 1.0554939192550559, 1.407325225673408, 1.75915653209176, 2.1109878385101117, 2.462819144928464, 2.814650451346816, 3.1664817577651676, 3.51831306418352, 20220317, 13:08:00
SELL, ACN, 323.075, 320.6972900683865, 0.9527709369419712, 0.473943518534037, 0.947887037068074, 1.421830555602111, 1.895774074136148, 2.369717592670185, 2.843661111204222, 3.317604629738259, 3.791548148272296, 4.265491666806333, 4.73943518534037, 20220318, 14:44:00
BUY, ACN, 323.87, 320.84258642317076, 0.9613094442182596, 0.5077532594997953, 1.0155065189995907, 1.523259778499386, 2.0310130379991813, 2.5387662974989764, 3.046519556998772, 3.5542728164985675, 4.062026075998363, 4.569779335498158, 5.077532594997953, 20220318, 14:50:00
SELL, ACN, 323.95, 321.0510484205294, 1.070812806846635, 0.5304558020794087, 1.0609116041588174, 1.5913674062382261, 2.1218232083176347, 2.6522790103970433, 3.1827348124764523, 3.713190614555861, 4.243646416635269, 4.774102218714678, 5.304558020794087, 20220318, 14:57:00
BUY, ACN, 325.0, 321.3800598307124, 0.9765411949069145, 0.553140963986527, 1.106281927973054, 1.659422891959581, 2.212563855946108, 2.765704819932635, 3.318845783919162, 3.871986747905689, 4.425127711892216, 4.978268675878743, 5.53140963986527, 20220318, 15:17:00
SELL, ACN, 325.515, 324.0733253852072, 0.7968039683919022, 0.38374132578157394, 0.7674826515631479, 1.151223977344722, 1.5349653031262958, 1.9187066289078696, 2.302447954689444, 2.6861892804710177, 3.0699306062525915, 3.4536719320341653, 3.837413257815739, 20220321, 11:22:00
