Watchlist Scanner,,,,,,,
,,,,,,,
Results,,,,,,,
Symbol,MovAvgExponential,Close,AvgClose1636,Avg300,AvgRisk300,totalRisk300,totalstocksWithAccount
AVDL,6.86,6.46,,,,,
AVIR,7.79,7.3,,,,,
AVPT,6.31,6.23,,,,,
AVRO,2.36,2.06,,,,,
AVXL,15.24,14.39,,,,,
AVYA,19.87,20.21,,,,,
AXDX,4.41,4.1,,,,,
AXGN,9.53,9.15,,,,,
AXTI,8.67,8.54,,,,,
AYRO,1.54,1.47,,,,,
AYTU,1.4,1.35,,,,,
AZRE,16.31,16.01,,,,,
AZUL,13.48,14.32,,,,,
AZYO,6.56,7,,,,,
BANC,21.02,21.86,,,,,
BANX,21.95,21.98,,,,,
BARK,4.12,4.11,,,,,
BBAI,5.17,4.75,,,,,
BBAR,3.18,3.29,,,,,
BBBY,14.47,15.46,,,,,
BBDO,3.02,3.16,,,,,
BBIG,2.99,4.07,,,,,
BBIO,14.83,12.75,,,,,
BBLG,3.75,3.5001,,,,,
BBVA,6.37,6.63,,,,,
BCAB,15.04,12.63,,,,,
BCAC,10.01,10.02,,,,,
BCBP,15.91,16.1,,,,,
BCEL,2.47,2.12,,,,,
BCLI,3.68,3.55,,,,,
BCML,19.57,19.9,,,,,
BCOR,17.21,17.12,,,,,
BCOV,9.93,9.85,,,,,
BCRX,14.94,15.48,,,,,
BCTX,8.33,8.45,,,,,
BCpA,26.57,26.57,,,,,
BDCZ,20.19,20.0949,,,,,
BDSI,3.08,3.06,,,,,
BDTX,4.71,4.24,,,,,
BEEM,16.12,14.35,,,,,
BEKE,20.87,21,,,,,
BEPH,24.39,24.42,,,,,
BFLY,6.8,6.76,,,,,
BFRA,3.19,3.16,,,,,
BFRI,5.77,4.95,,,,,
BGCP,4.5,4.38,,,,,
BGFV,19.54,19.98,,,,,
BGRY,4.41,3.9,,,,,
BGSF,14.07,14.24,,,,,
BGSX,9.76,9.79,,,,,
BHSE,10.01,10.01,,,,,
BIGZ,14.05,13.49,,,,,
BIOC,3.54,3.3,,,,,
BIOX,13.77,13.9,,,,,
BIPH,24.89,24.95,,,,,
BIRD,14.29,13.92,,,,,
BITF,4.68,4.56,,,,,
BJDX,2.71,2.66,,,,,
BKEP,3.34,3.495,,,,,
BKKT,6.4,5.58,,,,,
BKSY,3.76,3.28,,,,,
BLBX,2.94,2.58,,,,,
BLDE,7.33,6.69,,,,,
BLDP,11.47,10.98,,,,,
BLFY,14.68,14.8,,,,,
BLIN,2.16,2.08,,,,,
BLMN,21.31,21.11,,,,,
BLND,7.18,7.07,,,,,
BLNK,24.3,23.38,,,,,
BLRX,2.03,2.01,,,,,
BLSA,9.85,9.95,,,,,
BLTS,9.87,9.865,,,,,
BLUE,9.31,8.73,,,,,
BMEA,8.17,9.03,,,,,
BMRA,4.29,4.39,,,,,
BNFT,10.71,10.62,,,,,
BNGO,2.75,2.55,,,,,
BNIX,9.82,9.82,,,,,
BNKD,7.99,7.74,,,,,
BOLT,3.99,3.96,,,,,
BORR,2.23,2.2,,,,,
BOSC,2.81,2.79,,,,,
BOWL,8.57,8.78,,,,,
BOXL,1.21,1.11,,,,,
BPMP,17.32,18.43,,,,,
BPTH,3.93,3.9445,,,,,
BRBR,26.16,25.92,,,,,
BRDG,22.58,22.16,,,,,
BRDS,4.9,3.85,,,,,
BRFS,4.23,4.38,,,,,
BRKL,17.2,17.65,,,,,
BRLT,15.38,12.42,,,,,
BRMK,9.71,9.79,,,,,
BRSP,10.05,10.13,,,,,
BSAC,18.38,18.91,,,,,
BSBK,10.09,10.0999,,,,,
BSBR,5.61,5.8,,,,,
BSIG,24.67,24.44,,,,,
BSVN,24.84,25.96,,,,,
BTAI,20.12,19.5,,,,,
BTAQ,10,10.01,,,,,
BTBT,5.83,5.83,,,,,
BTCS,5.47,6.35,,,,,
BTRS,6.99,6.65,,,,,
BTTR,2.95,2.78,,,,,
BWAC,10.18,10.19,,,,,
BWAY,7.72,7.85,,,,,
BWEN,1.85,1.85,,,,,
BXMX,14.98,15.04,,,,,
BYFC,2.35,2.35,,,,,
BYRN,12.29,11.98,,,,,
BZUN,13.68,13.49,,,,,
CAAP,5.78,5.82,,,,,
CABA,3.63,3.43,,,,,
CARA,11.99,11.95,,,,,
CARE,15.93,16.29,,,,,
CARS,16.27,16.41,,,,,
CBAY,3.22,3.15,,,,,
CCAI,9.72,9.71,,,,,
CCCS,10.64,10.64,,,,,
CCNC,1.06,1.12,,,,,
CCVI,9.77,9.78,,,,,
CDAK,9.81,9.13,,,,,
CDAQ,9.66,9.67,,,,,
CDEV,7.1,7.59,,,,,
CDMO,22.87,20.97,,,,,
CDRE,21.74,21.58,,,,,
CDXS,25.99,23.5,,,,,
CDZI,3.65,3.31,,,,,
CECE,6.25,6.27,,,,,
CEMI,1.15,1.09,,,,,
CENN,3.18,3.18,,,,,
CENX,16.89,16.88,,,,,
CEPU,3.22,3.38,,,,,
CERS,6.18,5.84,,,,,
CFIV,9.79,9.79,,,,,
CFRX,2.54,2.52,,,,,
CFSB,10.24,10.18,,,,,
CGEM,14.47,13.69,,,,,
CGEN,4.09,3.89,,,,,
CGRN,3.47,3.48,,,,,
