Watchlist Scanner,,,,,,,
,,,,,,,
Results,,,,,,,
Symbol,MovAvgExponential,Close,AvgClose1636,Avg300,AvgRisk300,totalRisk300,totalstocksWithAccount
IGMS,24.23,21.88,,,,,
IHRT,20.7,20.64,,,,,
IHTA,9.86,9.8291,,,,,
IINN,3.49,3.14,,,,,
IKNA,11.89,11.37,,,,,
IMAC,1.29,1.36,,,,,
IMAX,18.76,18.61,,,,,
IMCC,2.97,2.85,,,,,
IMCR,27.67,22.95,,,,,
IMGN,6.87,6.49,,,,,
IMGO,20.28,18.48,,,,,
IMMR,5.4,5.33,,,,,
IMMX,5.63,5.84,,,,,
IMPL,7.86,8.05,,,,,
IMTE,6.42,8.77,,,,,
IMTX,12.11,11.87,,,,,
IMUX,11.11,11.85,,,,,
IMVT,7.83,7.86,,,,,
IMXI,16.28,16.69,,,,,
INDO,2.99,3.28,,,,,
INDP,5.44,5.28,,,,,
INFI,1.63,1.43,,,,,
INFN,9.24,9.03,,,,,
INFU,16.31,16.16,,,,,
INFY,25.29,26.2,,,,,
INMB,9.16,8.78,,,,,
INSG,5.29,4.98,,,,,
INSM,24.95,23.73,,,,,
INTA,22.95,21.91,,,,,
INVE,23.45,22.1,,,,,
INVZ,4.93,4.3,,,,,
INZY,6.73,6.74,,,,,
IOBT,7.31,7.6,,,,,
IONQ,14.34,12.93,,,,,
IOVA,15.94,15.49,,,,,
IPAX,9.67,9.69,,,,,
IPOD,10.22,10.19,,,,,
IRCP,2.22,2.2207,,,,,
IREN,12.78,12.34,,,,,
IRNT,3.7,3.46,,,,,
IRWD,11.61,11.72,,,,,
ISBC,16.83,17.45,,,,,
ISEE,14.04,13.67,,,,,
ISSC,6.74,7.03,,,,,
ISTR,18.42,18.89,,,,,
ISUN,5.8,5.6,,,,,
ITCB,3.32,3.62,,,,,
ITRN,25.96,26.52,,,,,
ITUB,4.06,4.25,,,,,
IVAC,5.5,5.64,,,,,
IZEA,1.28,1.27,,,,,
JAKK,9.55,9.32,,,,,
JBLU,14.8,14.85,,,,,
JELD,25.62,25.58,,,,,
JMAC,9.93,9.94,,,,,
JMIA,10.44,9.83,,,,,
JNCE,6.91,6.28,,,,,
JOBY,6.27,5.71,,,,,
JRJC,6.56,6.61,,,,,
KAHC,9.77,9.79,,,,,
KAIR,9.78,9.78,,,,,
KALA,1.09,1.04,,,,,
KALV,12.8,12.54,,,,,
KBAL,10.54,10.7,,,,,
KDNY,14.67,14.46,,,,,
KEQU,12.96,13.075,,,,,
KIND,6.84,6.2,,,,,
KINS,5.3,5.44,,,,,
KIRK,16.11,16.81,,,,,
KLDO,2.33,2.21,,,,,
KLTR,3.27,3.26,,,,,
KLXE,4.19,4.53,,,,,
KMDA,6.66,6.76,,,,,
KMPH,8.48,8.19,,,,,
KNDI,3.38,3.34,,,,,
KNOP,15.18,16.44,,,,,
KNSA,11.43,11.33,,,,,
KNTE,15.63,15.53,,,,,
KODK,4.59,4.51,,,,,
KOPN,3.69,3.5,,,,,
KORE,6.66,6.7,,,,,
KPTI,7.76,8.04,,,,,
KREF,21.82,22.18,,,,,
KRMD,3.12,3.41,,,,,
KRNL,9.73,9.7234,,,,,
KRNY,13.64,13.84,,,,,
KRON,11.95,10.68,,,,,
KTOS,17.95,16.87,,,,,
KTTA,1.52,1.38,,,,,
KUKE,4.07,4.31,,,,,
KULR,2.72,2.75,,,,,
KURA,13.45,13.64,,,,,
KVHI,9.27,9.4,,,,,
KXIN,1.11,1.03,,,,,
LABP,4.13,3.72,,,,,
LADR,12.17,12.26,,,,,
LASR,23.83,22.87,,,,,
LAUR,11.97,11.91,,,,,
LAZR,15.95,15.42,,,,,
LBAI,20.07,20.43,,,,,
LBRT,11.89,12.45,,,,,
LCAP,9.98,9.9815,,,,,
LCTX,2.01,1.89,,,,,
LDHA,9.78,9.74,,,,,
LEGA,9.77,9.76,,,,,
LESL,22.37,22.07,,,,,
LEVI,23.39,23.1,,,,,
LEXX,4.42,4.61,,,,,
LFMD,3.71,3.63,,,,,
LFST,9.38,8.56,,,,,
LFVN,6.51,6.54,,,,,
LGHL,1.31,1.28,,,,,
LGST,9.92,9.91,,,,,
LGVN,10.06,9.08,,,,,
LICY,9.31,9.09,,,,,
LIDR,4.18,3.42,,,,,
LIFE,6.94,6.7,,,,,
LILA,11.46,11.36,,,,,
LILM,6.72,6.35,,,,,
LIND,17.74,18.53,,,,,
LIZI,1.64,1.57,,,,,
LJPC,4.72,4.92,,,,,
LMDX,8.98,9.41,,,,,
LMNR,15.59,15.17,,,,,
LMPX,7.42,7.31,,,,,
LMST,19.12,19.6204,,,,,
LNDC,10.64,10.96,,,,,
LNTH,27.31,27.29,,,,,
LOCO,13.98,13.87,,,,,
LODE,1.47,1.53,,,,,
LOTZ,2.2,2.08,,,,,
LPTX,2.95,2.84,,,,,
LQDA,5.97,6.25,,,,,
LQDT,21.39,21.08,,,,,
LRFC,24.36,24.89,,,,,
LRMR,9.61,9.15,,,,,
LSBK,14.99,14.85,,,,,
LTCH,6.51,6.33,,,,,
LTHM,24.6,24.58,,,,,
LUCD,4.55,4.27,,,,,
LUMN,12.87,12.34,,,,,
LUXA,9.82,9.82,,,,,
LVLU,9.65,9.28,,,,,
LVOX,5.01,5,,,,,
LVRA,9.79,9.81,,,,,
LWLG,12.54,10.43,,,,,
LXFR,18.86,18.47,,,,,
LXRX,3.59,3.45,,,,,
LYEL,6.54,6.04,,,,,
MACK,4.16,4.64,,,,,
MAPS,5.47,5.32,,,,,
MASS,20.03,17.65,,,,,
MAXN,12.85,12.4,,,,,
MBCN,25.35,25.69,,,,,
MBIO,1.57,1.5,,,,,
MBOT,6.63,6.33,,,,,
MBRX,1.77,1.71,,,,,
MCFE,25.75,25.76,,,,,
MCLD,4.79,4.83,,,,,
MCMJ,9.83,9.97,,,,,
MCRB,8.27,8.04,,,,,
MDJH,1.77,1.83,,,,,
MDRX,17.89,17.88,,,,,
MDXG,5.46,5.12,,,,,
MEGI,19.78,20.24,,,,,
MEIP,2.51,2.49,,,,,
MERC,12.14,12.5,,,,,
MESA,5.7,5.68,,,,,
MESO,4.74,4.63,,,,,
METC,13.64,13.95,,,,,
MFGP,5.84,5.98,,,,,
MFIN,6.38,6.68,,,,,
MGNI,15.83,15.11,,,,,
MGNX,14.88,14.44,,,,,
MGTX,20.19,18.49,,,,,
MGYR,12.35,12.46,,,,,
MHLD,2.97,2.96,,,,,
MHpC,12.29,12.23,,,,,
MHpD,12.3,12.4,,,,,
MILE,1.93,1.83,,,,,
MIMO,3.84,3.91,,,,,
MIRM,16.95,18.74,,,,,
MIST,7.61,8.24,,,,,
MITK,16.69,16.24,,,,,
MKFG,5.27,4.9,,,,,
MLAI,9.9,9.89,,,,,
MLCO,10.01,11.1,,,,,
MLNK,18.68,18.29,,,,,
MLPB,16.38,16.78,,,,,
MLSS,1.96,1.86,,,,,
MMAT,2.33,2.14,,,,,
MMLP,2.94,3.0674,,,,,
MNDO,3.13,3.19,,,,,
MNDT,16.46,16.13,,,,,
MNKD,4.02,3.92,,,,,
MNMD,1.24,1.12,,,,,
MNRL,22.11,22.53,,,,,
MNSO,9.93,9.55,,,,,
MNTS,4.13,4.26,,,,,
MNTV,19.09,17.77,,,,,
MOBQ,2.36,2.42,,,,,
MOGO,2.95,2.68,,,,,
MOMO,9.28,9.56,,,,,
MPAA,17.64,17.88,,,,,
MPLN,4.07,3.97,,,,,
MRAI,3.3,2.9,,,,,
MRAM,10.19,9.82,,,,,
MREO,1.44,1.43,,,,,
MRNS,11.23,11.07,,,,,
MRSN,6.24,6.28,,,,,
MRTN,16.7,16.53,,,,,
MSAC,9.72,9.74,,,,,
MSDA,9.84,9.87,,,,,
MSpL,26.12,26.21,,,,,
MTEM,3.84,3.7,,,,,
MTLS,21.83,20.7,,,,,
MTOR,25.96,27.2,,,,,
MTRX,7.83,8.11,,,,,
MUDS,9.96,9.965,,,,,
MUFG,6.02,6.27,,,,,
MVIS,4.35,3.86,,,,,
MVST,5.31,5.13,,,,,
MXCT,8.57,7.77,,,,,
MYGN,26.57,27.79,,,,,
MYMD,5.14,4.86,,,,,
MYNZ,15.46,20.87,,,,,
MYOV,14.91,15.35,,,,,
MYPS,4.26,4.46,,,,,
NAAC,9.83,9.85,,,,,
NABL,10.52,10.16,,,,,
NAII,13.09,13.36,,,,,
NAKD,3.86,2.61,,,,,
NAOV,1.01,0.959,,,,,
NAPA,22.01,21.53,,,,,
NAUT,4.75,4.43,,,,,
NAVI,21.83,21.92,,,,,
NBSE,2.4,2.095,,,,,
NBXG,16.27,15.69,,,,,
NCAC,9.91,9.91,,,,,
NCLH,22.29,22.96,,,,,
NCMI,2.76,2.74,,,,,
NCNA,2.61,2.86,,,,,
NCTY,6.16,5.88,,,,,
NDAC,9.74,9.7267,,,,,
NEGG,9.09,8.48,,,,,
NESR,9.83,9.93,,,,,
NETC,9.92,9.9,,,,,
NETI,7.68,7.68,,,,,
NEXT,2.67,2.58,,,,,
NFBK,17.04,17.24,,,,,
NFNT,9.84,9.83,,,,,
NHTC,7.18,7.33,,,,,
NICK,11.62,11.7192,,,,,
NILE,1.13,1.07,,,,,
NINE,1.16,1.2,,,,,
NISN,2.5,2.09,,,,,
NKLA,10.25,10.08,,,,,
NKTR,12.6,12.1,,,,,
NKTX,13.17,12.14,,,,,
NLSN,20.65,20.51,,,,,
NLTX,4.11,3.83,,,,,
NMAI,18.67,19.05,,,,,
NMIH,24.37,25.56,,,,,
NMRK,17,16.44,,,,,
NMpG,14.45,15.8932,,,,,
NMpH,14.74,15.7251,,,,,
NNBR,4.18,4.23,,,,,
NNDM,3.78,3.71,,,,,
NOAC,9.79,9.78,,,,,
NOMD,26.19,26.54,,,,,
NOVA,24.62,23.59,,,,,
NOVN,3.94,3.79,,,,,
NRBO,1.36,1.31,,,,,
NRDS,14.34,13.34,,,,,
NRDY,4.24,4.09,,,,,
NREF,20.24,20.86,,,,,
NRIX,25.04,23.24,,,,,
NRSN,2.67,2.75,,,,,
NRUC,26.79,26.82,,,,,
NRXP,4.71,4.36,,,,,
NSPR,2.98,2.92,,,,,
NSSC,22.7,21.96,,,,,
NSYS,10.47,10.47,,,,,
NSpB,22.2,22.39,,,,,
NSpC,25.15,25.36,,,,,
NTRB,6.61,6.48,,,,,
NTUS,23.86,23.94,,,,,
NUVB,6.67,6.01,,,,,
NUVL,14.27,12.7,,,,,
NUWE,1.14,1.11,,,,,
NVFY,1.81,1.83,,,,,
NVGS,9.21,9.43,,,,,
NVSA,9.74,9.7541,,,,,
NVTA,12.68,11.74,,,,,
NVTS,12.89,11.19,,,,,
NWBI,14.7,15.01,,,,,
NWSA,22.56,22.72,,,,,
NXGL,2.87,2.74,,,,,
NXGN,18.39,19.05,,,,,
NXTC,5.69,5.68,,,,,
NYCB,13.04,13.26,,,,,
NYMT,3.8,3.78,,,,,
NYMX,1.46,1.6,,,,,
OACB,9.94,9.95,,,,,
OBCI,8.98,9.38,,,,,
OBSV,1.97,1.92,,,,,
OCCI,13.34,13.39,,,,,
OCDX,19.9,19.06,,,,,
OCFC,23.49,24.04,,,,,
OCFT,2.42,2.35,,,,,
OCGN,4.27,4.25,,,,,
OCSL,7.63,7.65,,,,,
OCUL,6.45,6.2,,,,,
OCUP,3.67,3.69,,,,,
OHPA,9.74,9.72,,,,,
OLMA,7.4,6.69,,,,,
OLPX,24.45,22.84,,,,,
OMER,6.19,5.77,,,,,
OMEX,5.64,5.84,,,,,
OMGA,11.06,10.66,,,,,
OMIC,8.89,7.76,,,,,
ONCY,1.47,1.62,,,,,
ONTF,16.84,16.64,,,,,
ONTX,2.34,2.22,,,,,
OOMA,19.57,19.31,,,,,
OPAD,5.26,4.37,,,,,
OPCH,25.44,24.33,,,,,
OPHC,4.2,4.22,,,,,
OPTN,1.86,2.09,,,,,
OPTT,1.4,1.31,,,,,
ORAN,11.04,11.41,,,,,
ORGN,6.28,6.13,,,,,
ORGO,8.55,8.42,,,,,
ORIC,13.88,12.8,,,,,
ORMP,12.01,11.05,,,,,
ORRF,25.27,25.65,,,,,
ORTX,1.28,1.24,,,,,
OSAT,3.85,3.85,,,,,
OSBC,13.52,14.14,,,,,
OSCR,custom expression subscription limit exceeded,7.27,,,,,
OSMT,custom expression subscription limit exceeded,1.13,,,,,
OSTR,custom expression subscription limit exceeded,9.72,,,,,
OSUR,custom expression subscription limit exceeded,8.51,,,,,
OTLK,custom expression subscription limit exceeded,1.33,,,,,
OTLY,custom expression subscription limit exceeded,7.41,,,,,
OTRK,custom expression subscription limit exceeded,4.22,,,,,
OUST,custom expression subscription limit exceeded,4.02,,,,,
OVLY,custom expression subscription limit exceeded,18,,,,,
OXBR,custom expression subscription limit exceeded,5.34,,,,,
OXLC,custom expression subscription limit exceeded,8.05,,,,,
OYST,custom expression subscription limit exceeded,13.63,,,,,
OZON,custom expression subscription limit exceeded,22.94,,,,,
PAAS,custom expression subscription limit exceeded,22.99,,,,,
PACB,custom expression subscription limit exceeded,12.43,,,,,
PACX,custom expression subscription limit exceeded,9.87,,,,,
PAFO,custom expression subscription limit exceeded,9.92,,,,,
PAGP,custom expression subscription limit exceeded,11.73,,,,,
PAHC,custom expression subscription limit exceeded,21.07,,,,,
PALI,custom expression subscription limit exceeded,1.3,,,,,
PANL,custom expression subscription limit exceeded,3.99,,,,,
PARR,custom expression subscription limit exceeded,17.6,,,,,
PASG,custom expression subscription limit exceeded,5.76,,,,,
PATI,custom expression subscription limit exceeded,8.05,,,,,
PAVM,custom expression subscription limit exceeded,1.93,,,,,
PAYA,custom expression subscription limit exceeded,6.19,,,,,
PAYS,custom expression subscription limit exceeded,1.94,,,,,
PBCT,custom expression subscription limit exceeded,21.42,,,,,
PBFX,custom expression subscription limit exceeded,12.58,,,,,
PBIP,custom expression subscription limit exceeded,13.82,,,,,
PBPB,custom expression subscription limit exceeded,5.73,,,,,
PBYI,custom expression subscription limit exceeded,2.78,,,,,
PCOM,custom expression subscription limit exceeded,15.44,,,,,
PCSB,custom expression subscription limit exceeded,19.04,,,,,
PCVX,custom expression subscription limit exceeded,19.43,,,,,
PCYO,custom expression subscription limit exceeded,13.53,,,,,
PDEX,custom expression subscription limit exceeded,25.13,,,,,
PDLB,custom expression subscription limit exceeded,15.39,,,,,
PDOT,custom expression subscription limit exceeded,9.72,,,,,
PDSB,custom expression subscription limit exceeded,6.82,,,,,
PEAR,custom expression subscription limit exceeded,4.36,,,,,
PERI,custom expression subscription limit exceeded,20.76,,,,,
PETQ,custom expression subscription limit exceeded,20.54,,,,,
PETS,custom expression subscription limit exceeded,23.99,,,,,
PFHD,custom expression subscription limit exceeded,21.25,,,,,
PFIN,custom expression subscription limit exceeded,6.17,,,,,
PFMT,custom expression subscription limit exceeded,2.15,,,,,
PGEN,custom expression subscription limit exceeded,3.23,,,,,
PGRE,custom expression subscription limit exceeded,9.47,,,,,
PGTI,custom expression subscription limit exceeded,21.9,,,,,
PHAS,custom expression subscription limit exceeded,2.24,,,,,
PHAT,custom expression subscription limit exceeded,15.16,,,,,
PHCF,custom expression subscription limit exceeded,1.28,,,,,
PHUN,custom expression subscription limit exceeded,2.89,,,,,
PHVS,custom expression subscription limit exceeded,17.98,,,,,
PHYT,custom expression subscription limit exceeded,9.96,,,,,
PIAI,custom expression subscription limit exceeded,9.84,,,,,
PINE,custom expression subscription limit exceeded,20.01,,,,,
PING,custom expression subscription limit exceeded,20.41,,,,,
PIPP,custom expression subscription limit exceeded,9.87,,,,,
PIXY,custom expression subscription limit exceeded,1.29,,,,,
PKBK,custom expression subscription limit exceeded,23.95,,,,,
PLAB,custom expression subscription limit exceeded,19.79,,,,,
PLBY,custom expression subscription limit exceeded,21.98,,,,,
PLMI,custom expression subscription limit exceeded,9.71,,,,,
PLRX,custom expression subscription limit exceeded,12.68,,,,,
PLTK,custom expression subscription limit exceeded,18.96,,,,,
PLTR,custom expression subscription limit exceeded,16.01,,,,,
PLUG,custom expression subscription limit exceeded,23.44,,,,,
PLXP,custom expression subscription limit exceeded,6.99,,,,,
PLYA,custom expression subscription limit exceeded,7.51,,,,,
PMCB,custom expression subscription limit exceeded,2.42,,,,,
PMGM,custom expression subscription limit exceeded,9.75,,,,,
PMTS,custom expression subscription limit exceeded,17.78,,,,,
PMVP,custom expression subscription limit exceeded,17.6,,,,,
PNBK,custom expression subscription limit exceeded,15.32,,,,,
PNTG,custom expression subscription limit exceeded,18.75,,,,,
POLA,custom expression subscription limit exceeded,3.33,,,,,
POND,custom expression subscription limit exceeded,9.72,,,,,
POSH,custom expression subscription limit exceeded,16.98,,,,,
POWW,custom expression subscription limit exceeded,4.79,,,,,
PPIH,custom expression subscription limit exceeded,8.97,,,,,
PPSI,custom expression subscription limit exceeded,8.09,,,,,
PPTA,custom expression subscription limit exceeded,4.17,,,,,
PRAX,custom expression subscription limit exceeded,17.53,,,,,
PRCT,custom expression subscription limit exceeded,20.76,,,,,
PRDO,custom expression subscription limit exceeded,12.08,,,,,
PRIM,custom expression subscription limit exceeded,27.39,,,,,
PRLD,custom expression subscription limit exceeded,9.52,,,,,
PRMW,custom expression subscription limit exceeded,17.25,,,,,
PROG,custom expression subscription limit exceeded,1.69,,,,,
PROV,custom expression subscription limit exceeded,16.8702,,,,,
PRPB,custom expression subscription limit exceeded,9.9,,,,,
PRPO,custom expression subscription limit exceeded,1.56,,,,,
PRQR,custom expression subscription limit exceeded,6.76,,,,,
PRSO,custom expression subscription limit exceeded,3.6,,,,,
PRSR,custom expression subscription limit exceeded,9.75,,,,,
PRTG,custom expression subscription limit exceeded,10.54,,,,,
PRTH,custom expression subscription limit exceeded,5.87,,,,,
PRTK,custom expression subscription limit exceeded,4.47,,,,,
PRTS,custom expression subscription limit exceeded,10.02,,,,,
PRTY,custom expression subscription limit exceeded,5.65,,,,,
PRVB,custom expression subscription limit exceeded,4.75,,,,,
PSFE,custom expression subscription limit exceeded,3.76,,,,,
PSNL,custom expression subscription limit exceeded,12.25,,,,,
PSPC,custom expression subscription limit exceeded,9.79,,,,,
PSTH,custom expression subscription limit exceeded,19.92,,,,,
PSTI,custom expression subscription limit exceeded,1.93,,,,,
PSTX,custom expression subscription limit exceeded,5.26,,,,,
PTEN,custom expression subscription limit exceeded,10.31,,,,,
PTPI,custom expression subscription limit exceeded,2.62,,,,,
PTRA,custom expression subscription limit exceeded,10.09,,,,,
PTRS,custom expression subscription limit exceeded,10.53,,,,,
PUBM,custom expression subscription limit exceeded,26.2,,,,,
PUMP,custom expression subscription limit exceeded,10.63,,,,,
PUYI,custom expression subscription limit exceeded,6.49,,,,,
PVBC,custom expression subscription limit exceeded,18.87,,,,,
PWpA,custom expression subscription limit exceeded,26.1,,,,,
PXLW,custom expression subscription limit exceeded,3.79,,,,,
QFIN,custom expression subscription limit exceeded,19.94,,,,,
QFTA,custom expression subscription limit exceeded,9.88,,,,,
QIWI,custom expression subscription limit exceeded,7.96,,,,,
QLGN,custom expression subscription limit exceeded,1.05,,,,,
QTNT,custom expression subscription limit exceeded,2.1,,,,,
QUBT,custom expression subscription limit exceeded,2.95,,,,,
QUIK,custom expression subscription limit exceeded,5.16,,,,,
QUOT,custom expression subscription limit exceeded,7.05,,,,,
QURE,custom expression subscription limit exceeded,20.21,,,,,
RAAS,custom expression subscription limit exceeded,2.4,,,,,
RADA,custom expression subscription limit exceeded,9.39,,,,,
RADI,custom expression subscription limit exceeded,14.46,,,,,
RAIL,custom expression subscription limit exceeded,3.97,,,,,
RAIN,custom expression subscription limit exceeded,11.93,,,,,
RANI,custom expression subscription limit exceeded,20.67,,,,,
RBKB,custom expression subscription limit exceeded,10.88,,,,,
RBOT,custom expression subscription limit exceeded,7.1,,,,,
RCKT,custom expression subscription limit exceeded,18.77,,,,,
RCLF,custom expression subscription limit exceeded,9.8299,,,,,
RCON,custom expression subscription limit exceeded,1.18,,,,,
RCRT,custom expression subscription limit exceeded,2.64,,,,,
RCpC,custom expression subscription limit exceeded,25.18,,,,,
RDHL,custom expression subscription limit exceeded,2.47,,,,,
RDIB,custom expression subscription limit exceeded,20.51,,,,,
RDUS,custom expression subscription limit exceeded,6.4,,,,,
REAL,custom expression subscription limit exceeded,10.67,,,,,
REFI,custom expression subscription limit exceeded,18.28,,,,,
REKR,custom expression subscription limit exceeded,5.65,,,,,
RELI,custom expression subscription limit exceeded,8.96,,,,,
RELY,custom expression subscription limit exceeded,15,,,,,
RENN,custom expression subscription limit exceeded,19.48,,,,,
RENT,custom expression subscription limit exceeded,5.43,,,,,
REPL,custom expression subscription limit exceeded,23.87,,,,,
RERE,custom expression subscription limit exceeded,6.03,,,,,
RETO,custom expression subscription limit exceeded,1.5,,,,,
REVB,custom expression subscription limit exceeded,6.9,,,,,
REVE,custom expression subscription limit exceeded,10,,,,,
REVG,custom expression subscription limit exceeded,14.12,,,,,
REZI,custom expression subscription limit exceeded,26.17,,,,,
RFIL,custom expression subscription limit exceeded,7.4,,,,,
RGNX,custom expression subscription limit exceeded,27.96,,,,,
RIDE,custom expression subscription limit exceeded,3.11,,,,,
RIGL,custom expression subscription limit exceeded,2.42,,,,,
RIOT,custom expression subscription limit exceeded,20.68,,,,,
RKDA,custom expression subscription limit exceeded,1.03,,,,,
RKLB,custom expression subscription limit exceeded,10.42,,,,,
RLGY,custom expression subscription limit exceeded,16.97,,,,,
RLMD,custom expression subscription limit exceeded,19.86,,,,,
RMCF,custom expression subscription limit exceeded,8.31,,,,,
RNDB,custom expression subscription limit exceeded,23.7,,,,,
RNER,custom expression subscription limit exceeded,9.92,,,,,
RNGR,custom expression subscription limit exceeded,10.44,,,,,
RNLX,custom expression subscription limit exceeded,15.38,,,,,
ROAD,custom expression subscription limit exceeded,26.71,,,,,
ROCG,custom expression subscription limit exceeded,9.89,,,,,
ROCR,custom expression subscription limit exceeded,9.9201,,,,,
ROIC,custom expression subscription limit exceeded,19.47,,,,,
ROIV,custom expression subscription limit exceeded,7.95,,,,,
ROOT,custom expression subscription limit exceeded,2.69,,,,,
ROSS,custom expression subscription limit exceeded,9.76,,,,,
ROVR,custom expression subscription limit exceeded,6.96,,,,,
RPAY,custom expression subscription limit exceeded,17.13,,,,,
RPTX,custom expression subscription limit exceeded,15.23,,,,,
RRGB,custom expression subscription limit exceeded,16.24,,,,,
RSKD,custom expression subscription limit exceeded,6.56,,,,,
RSLS,custom expression subscription limit exceeded,1.58,,,,,
RTLR,custom expression subscription limit exceeded,12.33,,,,,
RUBY,custom expression subscription limit exceeded,8.82,,,,,
RUTH,custom expression subscription limit exceeded,20.23,,,,,
RVMD,custom expression subscription limit exceeded,26.21,,,,,
RVNC,custom expression subscription limit exceeded,15.36,,,,,
RWLK,custom expression subscription limit exceeded,1.2,,,,,
RXRX,custom expression subscription limit exceeded,13.81,,,,,
RXST,custom expression subscription limit exceeded,11.12,,,,,
RYAM,custom expression subscription limit exceeded,6.6,,,,,
RZLT,custom expression subscription limit exceeded,4.5,,,,,
SABR,custom expression subscription limit exceeded,9.67,,,,,
SAMG,custom expression subscription limit exceeded,17.04,,,,,
SANA,custom expression subscription limit exceeded,11.37,,,,,
SAND,custom expression subscription limit exceeded,6.15,,,,,
SANG,custom expression subscription limit exceeded,16.4,,,,,
SANW,custom expression subscription limit exceeded,2.48,,,,,
SATS,custom expression subscription limit exceeded,25.03,,,,,
SAVE,custom expression subscription limit exceeded,23.29,,,,,
SBFG,custom expression subscription limit exceeded,20.14,,,,,
SBLK,custom expression subscription limit exceeded,22.28,,,,,
SBOW,custom expression subscription limit exceeded,24.34,,,,,
SBRA,custom expression subscription limit exceeded,14.31,,,,,
SBSW,custom expression subscription limit exceeded,14.56,,,,,
SBTX,custom expression subscription limit exceeded,4.91,,,,,
SBpC,custom expression subscription limit exceeded,25.55,,,,,
SBpD,custom expression subscription limit exceeded,25.75,,,,,
SCCB,custom expression subscription limit exceeded,25.43,,,,,
SCCD,custom expression subscription limit exceeded,25.18,,,,,
SCLE,custom expression subscription limit exceeded,9.83,,,,,
SCOR,custom expression subscription limit exceeded,3.23,,,,,
SCPL,custom expression subscription limit exceeded,12.4,,,,,
SCVX,custom expression subscription limit exceeded,9.995,,,,,
SCYX,custom expression subscription limit exceeded,6.05,,,,,
SDAC,custom expression subscription limit exceeded,9.74,,,,,
SDIG,custom expression subscription limit exceeded,11.9,,,,,
SEAC,custom expression subscription limit exceeded,1.51,,,,,
SEAT,custom expression subscription limit exceeded,11.1,,,,,
SEED,custom expression subscription limit exceeded,7.36,,,,,
SEEL,custom expression subscription limit exceeded,1.41,,,,,
SEER,custom expression subscription limit exceeded,19.59,,,,,
SELB,custom expression subscription limit exceeded,2.77,,,,,
SEMR,custom expression subscription limit exceeded,17.86,,,,,
SENS,custom expression subscription limit exceeded,2.84,,,,,
SEVN,custom expression subscription limit exceeded,11.68,,,,,
SFIX,custom expression subscription limit exceeded,16.6,,,,,
SFUN,custom expression subscription limit exceeded,4.27,,,,,
SGFY,custom expression subscription limit exceeded,12.98,,,,,
SGLB,custom expression subscription limit exceeded,1.9,,,,,
SGLY,custom expression subscription limit exceeded,4.64,,,,,
SGML,custom expression subscription limit exceeded,10.68,,,,,
SGMO,custom expression subscription limit exceeded,6.4,,,,,
SGRP,custom expression subscription limit exceeded,1.14,,,,,
SGTX,custom expression subscription limit exceeded,2.2,,,,,
SHCR,custom expression subscription limit exceeded,3.59,,,,,
SHLX,custom expression subscription limit exceeded,13.09,,,,,
SIBN,custom expression subscription limit exceeded,22.66,,,,,
SIDU,custom expression subscription limit exceeded,10.92,,,,,
SIEB,custom expression subscription limit exceeded,2.35,,,,,
SIEN,custom expression subscription limit exceeded,3.03,,,,,
SIFY,custom expression subscription limit exceeded,3.24,,,,,
SIGA,custom expression subscription limit exceeded,6.99,,,,,
SILV,custom expression subscription limit exceeded,7.73,,,,,
SIOX,custom expression subscription limit exceeded,1.2,,,,,
SIRI,custom expression subscription limit exceeded,6.18,,,,,
SITC,custom expression subscription limit exceeded,16.01,,,,,
SKIL,custom expression subscription limit exceeded,7.83,,,,,
SKIN,custom expression subscription limit exceeded,15.24,,,,,
SKLZ,custom expression subscription limit exceeded,6.04,,,,,
SKYA,custom expression subscription limit exceeded,9.7899,,,,,
SKYT,custom expression subscription limit exceeded,13.52,,,,,
SLAC,custom expression subscription limit exceeded,9.755,,,,,
SLCA,custom expression subscription limit exceeded,11.99,,,,,
SLCR,custom expression subscription limit exceeded,9.82,,,,,
SLDB,custom expression subscription limit exceeded,1.4,,,,,
SLDP,custom expression subscription limit exceeded,8.3,,,,,
SLGC,custom expression subscription limit exceeded,9.31,,,,,
SLGG,custom expression subscription limit exceeded,2.25,,,,,
SLNH,custom expression subscription limit exceeded,10.79,,,,,
SLQT,custom expression subscription limit exceeded,8.27,,,,,
SLVO,custom expression subscription limit exceeded,5.07,,,,,
SMED,custom expression subscription limit exceeded,6.69,,,,,
SMFG,custom expression subscription limit exceeded,7.56,,,,,
SMHB,custom expression subscription limit exceeded,12.56,,,,,
SMIT,custom expression subscription limit exceeded,5.15,,,,,
SMMT,custom expression subscription limit exceeded,2.39,,,,,
SMSI,custom expression subscription limit exceeded,4.27,,,,,
SMWB,custom expression subscription limit exceeded,17.02,,,,,
SNAX,custom expression subscription limit exceeded,2.72,,,,,
SNCE,custom expression subscription limit exceeded,9.29,,,,,
SNCR,custom expression subscription limit exceeded,2.24,,,,,
SNDR,custom expression subscription limit exceeded,26.57,,,,,
SNDX,custom expression subscription limit exceeded,18.09,,,,,
SNPO,custom expression subscription limit exceeded,18.35,,,,,
SNRH,custom expression subscription limit exceeded,9.76,,,,,
SNSE,custom expression subscription limit exceeded,5.24,,,,,
SOFI,custom expression subscription limit exceeded,13.2,,,,,
SOHO,custom expression subscription limit exceeded,2.22,,,,,
