Watchlist Scanner

Results
Symbol,MovAvgExponential
ABCM,22.54
ADTN,21.67
AEHR,18.61
AFCG,21.27
ARCE,21.47
ATEN,15.9
AUPH,21.97
BGFV,19.05
CARS,16.19
CCRN,27.15
CDRE,21.19
CEQP,25.49
CNHI,18.35
CONN,20.18
CRNX,26.02
CVLG,24.06
DICE,24.35
DLHC,17.31
EWCZ,28.24
EXTR,14.48
FLWS,22.95
FORG,25.38
FTAI,27.09
FWRG,16.64
GRIN,14.99
HESM,26.6
IMGO,22.06
INVE,24.26
LAZY,20.46
LMNR,15.29
LTHM,24.98
MNRL,21.01
NVTS,15.52
PERI,23.28
PETQ,22.18
POLY,28.94
ROCC,27.19
SBOW,22.52
SKIN,22.86
SLVM,28.27
SPTN,25.19
TIGO,27.7
TLYS,15.18
TRDA,17.25
VERI,22.46
VITL,17.3
VNOM,21.25
